Cluster,Country,Sum,Mean,Std,Max,Min,Median
1,Cambodia,17,0.6071428571428571,0.7859547491585427,3,0,0.0
1,Cameroon,2076,74.14285714285714,145.44916746912068,632,0,0.0
1,Canada,120310,4296.785714285715,1102.7461800279052,6795,2336,4453.5
1,Central African Republic,48,1.7142857142857142,3.183954481076345,13,0,0.0
1,Chad,189,6.75,3.9592835116881844,15,0,6.0
1,Chile,38562,1377.2142857142858,283.3776902720384,1808,840,1508.5
1,China,1074,38.357142857142854,20.113040335423968,95,13,31.0
1,Colombia,229276,8188.428571428572,1590.3473049194474,11187,5177,8319.5
1,Comoros,90,3.2142857142857144,4.976665125080827,20,0,0.0
1,Congo (Brazzaville),379,13.535714285714286,34.82706710555173,136,0,0.0
1,Congo (Kinshasa),1119,39.964285714285715,34.26204264397507,121,0,32.5
1,Costa Rica,27868,995.2857142857143,589.557829107912,2877,0,1105.5
1,Cote d'Ivoire,668,23.857142857142858,19.374886925766646,73,0,16.0
1,Croatia,69393,2478.3214285714284,650.1168016749803,3573,1165,2570.0
1,Cuba,1272,45.42857142857143,19.112587613690756,109,21,39.5
1,Cyprus,5382,192.21428571428572,56.10595607311496,314,107,197.0
4,Czechia,218501,7803.607142857143,4109.50307295344,15731,1513,6948.5
1,Denmark,30871,1102.5357142857142,171.4933282673459,1427,771,1072.0
1,Diamond Princess,0,0.0,0.0,0,0,0.0
1,Djibouti,125,4.464285714285714,4.985030501464269,19,0,2.5
1,Dominica,39,1.3928571428571428,2.558056057566134,8,0,0.0
1,Dominican Republic,14103,503.67857142857144,212.08018287490694,1026,134,477.5
1,Ecuador,23244,830.1428571428571,377.4076992173999,1716,301,864.0
1,Egypt,6865,245.17857142857142,67.2326274250545,363,153,224.0
1,El Salvador,4959,177.10714285714286,246.02112816310213,885,0,70.5
1,Equatorial Guinea,54,1.9285714285714286,4.099941927579439,17,0,0.0
1,Eritrea,97,3.4642857142857144,7.089283215384791,25,0,0.0
1,Estonia,5694,203.35714285714286,96.85239410250138,411,61,205.5
1,Eswatini,372,13.285714285714286,5.373854006046952,29,2,13.0
1,Ethiopia,12373,441.89285714285717,78.62302899170628,602,307,442.5
1,Fiji,5,0.17857142857142858,0.6118321864193026,3,0,0.0
1,Finland,7126,254.5,112.09106747376173,469,0,237.5
3,France,961884,34353.0,23911.29446594301,125414,57,32753.5
1,Gabon,213,7.607142857142857,9.787896099413299,32,0,0.0
1,Gambia,60,2.142857142857143,4.402981193037665,20,0,0.0
1,Georgia,79691,2846.1071428571427,756.1249328128018,4048,1673,2948.5
4,Germany,499773,17849.035714285714,7125.110335635058,31480,3213,17551.5
1,Ghana,3409,121.75,149.57040334088677,655,0,83.5
1,Greece,62385,2228.035714285714,635.3755076443266,3316,1151,2253.5
1,Grenada,13,0.4642857142857143,1.1379690439434391,5,0,0.0
1,Guatemala,13778,492.07142857142856,245.13729011574515,769,0,598.0
1,Guinea,1044,37.285714285714285,44.39207231765695,201,0,27.0
1,Guinea-Bissau,19,0.6785714285714286,2.0914919613373186,10,0,0.0
1,Guyana,1128,40.285714285714285,24.350613564187263,88,6,32.5
1,Haiti,189,6.75,9.48536885008813,43,0,3.0
1,Holy See,0,0.0,0.0,0,0,0.0
1,Honduras,10588,378.14285714285717,337.87667203085425,1324,0,291.0
1,Hungary,118239,4222.821428571428,871.4540872532965,6495,2194,4228.5
1,Iceland,724,25.857142857142858,22.328713097073656,97,3,19.0
4,India,1231894,43996.21428571428,5305.0149324825115,50356,29163,45403.5
1,Indonesia,109848,3923.1428571428573,752.7559101843441,5444,2618,3954.5
4,Iran,298718,10668.5,2214.120919110888,13721,6824,10833.0
1,Iraq,79841,2851.464285714286,647.2402657747828,4043,1766,2784.0
1,Ireland,12163,434.39285714285717,164.76343069758562,863,219,391.0
1,Israel,19211,686.1071428571429,188.8093962048449,1080,292,679.0
4,Italy,890244,31794.428571428572,5259.276273465288,40902,22253,32402.5
1,Jamaica,1635,58.392857142857146,26.04176031729192,126,8,55.0
1,Japan,37640,1344.2857142857142,602.8328100107,2586,488,1264.0
1,Jordan,134141,4790.75,1187.7199016665566,7933,2373,4791.5
1,Kazakhstan,16748,598.1428571428571,232.758611932129,1398,0,596.5
1,Kenya,27679,988.5357142857143,295.3593520195303,1494,413,990.0
1,"Korea, South",5589,199.60714285714286,101.15567001764941,386,75,145.5
1,Kosovo,17606,628.7857142857143,457.43207203813387,1858,0,695.0
1,Kuwait,17703,632.25,164.3556723603936,903,322,681.0
1,Kyrgyzstan,13628,486.7142857142857,272.5029197455346,1030,0,492.5
1,Laos,1,0.03571428571428571,0.1889822365046136,1,0,0.0
1,Latvia,8800,314.2857142857143,136.17087771072028,642,89,314.5
1,Lebanon,44710,1596.7857142857142,356.1454506386149,2142,1016,1679.5
1,Lesotho,145,5.178571428571429,11.674770428161084,59,0,0.0
